iter	Passed	Remaining
0	0	98
1	1	90
2	3	99
3	4	99
4	5	103
5	6	108
6	8	117
7	10	118
8	11	119
9	13	122
10	15	122
11	16	122
12	18	121
13	19	121
14	21	122
15	23	123
16	25	123
17	27	123
18	28	123
19	30	122
20	32	121
21	33	119
22	35	118
23	37	117
24	38	115
25	40	114
26	42	113
27	43	112
28	45	110
29	46	108
30	47	106
31	49	104
32	50	102
33	51	100
34	53	98
35	54	97
36	56	95
37	57	93
38	59	92
39	60	90
40	61	88
41	62	85
42	63	84
43	64	82
44	65	80
45	67	78
46	68	77
47	69	75
48	71	74
49	73	73
50	74	71
51	75	70
52	77	68
53	78	66
54	79	64
55	80	63
56	81	61
57	82	59
58	83	57
59	84	56
60	85	54
61	86	52
62	87	51
63	88	49
64	89	48
65	90	46
66	91	44
67	91	43
68	92	41
69	93	40
70	94	38
71	94	36
72	95	35
73	96	33
74	97	32
75	97	30
76	98	29
77	99	27
78	99	26
79	100	25
80	101	23
81	101	22
82	102	20
83	102	19
84	103	18
85	104	16
86	104	15
87	105	14
88	105	13
89	106	11
90	106	10
91	107	9
92	108	8
93	108	6
94	109	5
95	109	4
96	110	3
97	110	2
98	111	1
99	111	0
