iter	Passed	Remaining
0	122	122839
1	126	62949
2	128	42833
3	131	32724
4	136	27131
5	139	23065
6	142	20163
7	145	18094
8	151	16631
9	153	15209
10	156	14046
11	159	13109
12	165	12556
13	168	11849
14	171	11233
15	174	10739
16	177	10287
17	180	9850
18	182	9441
19	185	9069
20	187	8720
21	190	8485
22	192	8181
23	195	7939
24	197	7704
25	199	7487
26	202	7283
27	207	7193
28	209	7020
29	212	6868
30	214	6691
31	216	6542
32	219	6419
33	221	6290
34	223	6151
35	225	6034
36	226	5907
37	228	5787
38	230	5675
39	232	5580
40	235	5499
41	236	5387
42	238	5308
43	240	5221
44	242	5136
45	243	5054
46	246	4993
47	248	4922
48	249	4835
49	250	4761
50	252	4700
51	254	4637
52	256	4577
53	257	4519
54	260	4469
55	262	4420
56	263	4367
57	265	4314
58	267	4263
59	269	4215
60	270	4166
61	272	4120
62	273	4073
63	275	4035
64	277	3992
65	279	3949
66	280	3906
67	281	3864
68	283	3823
69	284	3782
70	286	3745
71	287	3709
72	289	3675
73	291	3644
74	292	3609
75	293	3574
76	295	3540
77	296	3506
78	297	3472
79	299	3439
80	300	3407
81	301	3376
82	302	3338
83	303	3308
84	304	3281
85	306	3255
86	307	3227
87	308	3199
88	309	3172
89	310	3144
90	312	3118
91	313	3092
92	314	3067
93	315	3042
94	316	3016
95	317	2992
96	318	2967
97	319	2943
98	321	2922
99	322	2899
100	323	2877
101	324	2855
102	325	2833
103	326	2813
104	327	2793
105	328	2772
106	330	2755
107	331	2738
108	333	2722
109	334	2705
110	336	2693
111	337	2678
112	339	2662
113	340	2644
114	341	2628
115	342	2611
116	343	2593
117	344	2578
118	346	2562
119	347	2546
120	348	2532
121	349	2514
122	350	2499
123	351	2486
124	353	2471
125	353	2455
126	354	2438
127	355	2424
128	356	2409
129	357	2395
130	358	2381
131	360	2367
132	361	2354
133	362	2342
134	363	2330
135	364	2317
136	366	2310
137	368	2300
138	369	2287
139	370	2274
140	371	2262
141	371	2247
142	373	2236
143	374	2224
144	375	2211
145	375	2199
146	376	2187
147	377	2175
148	378	2163
149	379	2152
150	380	2140
151	382	2133
152	383	2121
153	384	2110
154	385	2099
155	386	2088
156	387	2078
157	388	2068
158	389	2058
159	389	2047
160	390	2034
161	391	2024
162	392	2014
163	393	2003
164	393	1993
165	394	1983
166	395	1973
167	396	1965
168	398	1957
169	398	1947
170	399	1938
171	400	1930
172	402	1922
173	403	1913
174	404	1905
175	405	1897
